SettlementPoint,Year,Month,AveragePrice
HB_HUBAVG,2018,1,37.77303763440862
HB_HUBAVG,2018,2,21.83005952380953
HB_HUBAVG,2018,3,22.40343203230148
HB_HUBAVG,2018,4,22.450305555555552
HB_HUBAVG,2018,5,32.83485215053763
HB_HUBAVG,2018,6,29.781861111111088
HB_HUBAVG,2018,7,78.83232526881713
HB_HUBAVG,2018,8,31.69458333333332
HB_HUBAVG,2018,9,27.05302777777778
HB_HUBAVG,2018,10,29.889112903225822
HB_HUBAVG,2018,11,30.277208333333338
HB_HUBAVG,2018,12,30.191989247311827
HB_HUBAVG,2019,1,24.68340053763441
HB_HUBAVG,2019,2,21.250639880952367
HB_HUBAVG,2019,3,27.189030955585476
HB_HUBAVG,2019,4,22.221166666666647
HB_HUBAVG,2019,5,23.88376344086022
HB_HUBAVG,2019,6,25.17154166666668
HB_HUBAVG,2019,7,29.69623655913976
HB_HUBAVG,2019,8,126.34983870967757
HB_HUBAVG,2019,9,79.4591944444445
HB_HUBAVG,2019,10,28.131760752688177
HB_HUBAVG,2019,11,23.2572361111111
HB_HUBAVG,2019,12,18.623373655914005
HB_NORTH,2016,1,19.133306451612892
HB_NORTH,2016,2,15.292658045977005
HB_NORTH,2016,3,16.859367429340523
HB_NORTH,2016,4,18.350666666666676
HB_NORTH,2016,5,17.905631720430126
HB_NORTH,2016,6,23.15805555555555
HB_NORTH,2016,7,26.8007930107527
HB_NORTH,2016,8,29.82838709677418
HB_NORTH,2016,9,26.249180555555544
HB_NORTH,2016,10,24.005255376344078
HB_NORTH,2016,11,18.66488888888888
HB_NORTH,2016,12,25.149045698924702
HB_NORTH,2017,1,22.991854838709685
HB_NORTH,2017,2,19.4481994047619
HB_NORTH,2017,3,21.227779273216694
HB_NORTH,2017,4,21.41055555555557
HB_NORTH,2017,5,23.41991935483871
HB_NORTH,2017,6,25.890569444444427
HB_NORTH,2017,7,30.65431451612902
HB_NORTH,2017,8,26.832728494623666
HB_NORTH,2017,9,23.346111111111103
HB_NORTH,2017,10,21.405900537634427
HB_NORTH,2017,11,21.59620833333333
HB_NORTH,2017,12,20.952997311827954
HB_NORTH,2018,1,37.5859005376344
HB_NORTH,2018,2,21.767023809523774
HB_NORTH,2018,3,22.608008075370122
HB_NORTH,2018,4,23.522916666666667
HB_NORTH,2018,5,35.3061424731183
HB_NORTH,2018,6,30.21188888888888
HB_NORTH,2018,7,78.96845430107523
HB_NORTH,2018,8,31.603051075268784
HB_NORTH,2018,9,27.299638888888918
HB_NORTH,2018,10,30.03416666666664
HB_NORTH,2018,11,31.234888888888918
HB_NORTH,2018,12,30.39826612903227
HB_NORTH,2019,1,24.33263440860215
HB_NORTH,2019,2,20.864955357142883
HB_NORTH,2019,3,28.103714670255727
HB_NORTH,2019,4,22.99740277777778
HB_NORTH,2019,5,23.97888440860211
HB_NORTH,2019,6,25.175819444444464
HB_NORTH,2019,7,29.781290322580663
HB_NORTH,2019,8,126.52185483870967
HB_NORTH,2019,9,79.91958333333324
HB_NORTH,2019,10,27.995967741935484
HB_NORTH,2019,11,23.628611111111105
HB_NORTH,2019,12,18.7319892473118
HB_PAN,2019,4,16.54876666666666
HB_PAN,2019,5,16.414327956989226
HB_PAN,2019,6,20.731319444444456
HB_PAN,2019,7,28.384569892473117
HB_PAN,2019,8,124.9917338709677
HB_PAN,2019,9,72.85329166666678
HB_PAN,2019,10,18.71676075268816
HB_PAN,2019,11,11.661291666666664
HB_PAN,2019,12,8.81724462365592
HB_SOUTH,2016,1,19.210053763440854
HB_SOUTH,2016,2,15.333591954022989
HB_SOUTH,2016,3,16.763109017496653
HB_SOUTH,2016,4,18.51290277777777
HB_SOUTH,2016,5,18.570456989247315
HB_SOUTH,2016,6,24.645374999999984
HB_SOUTH,2016,7,26.960255376344076
HB_SOUTH,2016,8,31.20797043010751
HB_SOUTH,2016,9,27.405569444444456
HB_SOUTH,2016,10,26.68966397849464
HB_SOUTH,2016,11,20.14883333333334
HB_SOUTH,2016,12,25.708991935483862
HB_SOUTH,2017,1,23.624811827956986
HB_SOUTH,2017,2,21.079360119047603
HB_SOUTH,2017,3,23.680753701211305
HB_SOUTH,2017,4,25.6094027777778
HB_SOUTH,2017,5,26.49501344086023
HB_SOUTH,2017,6,29.65469444444443
HB_SOUTH,2017,7,32.12946236559143
HB_SOUTH,2017,8,28.315026881720453
HB_SOUTH,2017,9,25.51509722222224
HB_SOUTH,2017,10,25.56365591397848
HB_SOUTH,2017,11,23.97718055555557
HB_SOUTH,2017,12,21.99791666666665
HB_SOUTH,2018,1,39.498145161290296
HB_SOUTH,2018,2,22.306398809523813
HB_SOUTH,2018,3,22.888452220726812
HB_SOUTH,2018,4,24.471888888888902
HB_SOUTH,2018,5,34.2260752688172
HB_SOUTH,2018,6,30.068638888888913
HB_SOUTH,2018,7,78.8473790322581
HB_SOUTH,2018,8,31.66752688172045
HB_SOUTH,2018,9,27.189805555555555
HB_SOUTH,2018,10,29.772513440860244
HB_SOUTH,2018,11,29.837180555555587
HB_SOUTH,2018,12,30.089301075268807
HB_SOUTH,2019,1,25.086061827956964
HB_SOUTH,2019,2,22.125639880952377
HB_SOUTH,2019,3,27.13555854643338
HB_SOUTH,2019,4,22.463333333333342
HB_SOUTH,2019,5,24.059946236559167
HB_SOUTH,2019,6,23.904361111111104
HB_SOUTH,2019,7,29.637500000000028
HB_SOUTH,2019,8,125.93654569892459
HB_SOUTH,2019,9,78.90047222222212
HB_SOUTH,2019,10,29.468400537634416
HB_SOUTH,2019,11,23.718555555555533
HB_SOUTH,2019,12,18.95251344086021
HB_WEST,2016,1,19.126559139784952
HB_WEST,2016,2,14.988663793103447
HB_WEST,2016,3,15.871668909825038
HB_WEST,2016,4,16.86274999999999
HB_WEST,2016,5,17.337674731182776
HB_WEST,2016,6,23.141930555555533
HB_WEST,2016,7,26.543561827957014
HB_WEST,2016,8,29.786733870967733
HB_WEST,2016,9,26.354250000000036
HB_WEST,2016,10,24.113938172042996
HB_WEST,2016,11,18.778416666666644
HB_WEST,2016,12,24.86266129032258
HB_WEST,2017,1,21.901720430107524
HB_WEST,2017,2,17.616681547619056
HB_WEST,2017,3,19.813593539703888
HB_WEST,2017,4,19.996097222222236
HB_WEST,2017,5,22.166612903225815
HB_WEST,2017,6,25.331694444444455
HB_WEST,2017,7,30.29364247311829
HB_WEST,2017,8,26.817043010752666
HB_WEST,2017,9,22.678819444444443
HB_WEST,2017,10,21.693830645161306
HB_WEST,2017,11,21.00179166666666
HB_WEST,2017,12,20.33803763440862
HB_WEST,2018,1,36.051639784946275
HB_WEST,2018,2,21.087604166666658
HB_WEST,2018,3,20.3336204576043
HB_WEST,2018,4,17.156625000000005
HB_WEST,2018,5,27.692016129032254
HB_WEST,2018,6,28.277027777777782
HB_WEST,2018,7,78.51755376344079
HB_WEST,2018,8,31.560120967741923
HB_WEST,2018,9,26.139597222222196
HB_WEST,2018,10,28.76133064516124
HB_WEST,2018,11,28.715250000000026
HB_WEST,2018,12,29.9440053763441
HB_WEST,2019,1,23.881545698924697
HB_WEST,2019,2,20.491160714285716
HB_WEST,2019,3,25.66967698519515
HB_WEST,2019,4,19.551875000000013
HB_WEST,2019,5,22.70266129032257
HB_WEST,2019,6,24.708555555555577
HB_WEST,2019,7,29.455470430107532
HB_WEST,2019,8,126.31528225806449
HB_WEST,2019,9,78.42925000000012
HB_WEST,2019,10,24.668131720430107
HB_WEST,2019,11,21.66026388888888
HB_WEST,2019,12,18.136424731182792
LZ_AEN,2016,1,19.324663978494627
LZ_AEN,2016,2,15.448290229885073
LZ_AEN,2016,3,16.855074024226113
LZ_AEN,2016,4,18.25606944444444
LZ_AEN,2016,5,18.12490591397849
LZ_AEN,2016,6,24.2375138888889
LZ_AEN,2016,7,27.976102150537606
LZ_AEN,2016,8,30.699516129032325
LZ_AEN,2016,9,26.710861111111146
LZ_AEN,2016,10,25.622903225806493
LZ_AEN,2016,11,19.640041666666637
LZ_AEN,2016,12,25.870174731182786
LZ_AEN,2017,1,23.40447580645163
LZ_AEN,2017,2,20.605327380952374
LZ_AEN,2017,3,22.99701211305518
LZ_AEN,2017,4,24.118083333333328
LZ_AEN,2017,5,25.293844086021508
LZ_AEN,2017,6,27.91663888888888
LZ_AEN,2017,7,31.40143817204301
LZ_AEN,2017,8,27.465618279569895
LZ_AEN,2017,9,24.628805555555562
LZ_AEN,2017,10,24.01990591397848
LZ_AEN,2017,11,23.019444444444446
LZ_AEN,2017,12,21.062930107526874
LZ_AEN,2018,1,38.83798387096776
LZ_AEN,2018,2,21.913883928571398
LZ_AEN,2018,3,22.202826379542397
LZ_AEN,2018,4,22.18848611111112
LZ_AEN,2018,5,33.166169354838736
LZ_AEN,2018,6,30.28612499999999
LZ_AEN,2018,7,78.95137096774195
LZ_AEN,2018,8,31.732137096774153
LZ_AEN,2018,9,27.16730555555553
LZ_AEN,2018,10,30.310000000000006
LZ_AEN,2018,11,30.468083333333325
LZ_AEN,2018,12,30.094758064516125
LZ_AEN,2019,1,25.107956989247317
LZ_AEN,2019,2,21.51380952380956
LZ_AEN,2019,3,27.74218034993274
LZ_AEN,2019,4,23.270347222222245
LZ_AEN,2019,5,24.676236559139774
LZ_AEN,2019,6,24.416791666666676
LZ_AEN,2019,7,29.709086021505378
LZ_AEN,2019,8,126.52692204301066
LZ_AEN,2019,9,80.16959722222228
LZ_AEN,2019,10,29.280443548387094
LZ_AEN,2019,11,24.408013888888913
LZ_AEN,2019,12,19.05170698924731
LZ_CPS,2016,1,19.3538440860215
LZ_CPS,2016,2,15.520014367816108
LZ_CPS,2016,3,16.898183041722756
LZ_CPS,2016,4,19.069361111111103
LZ_CPS,2016,5,18.479865591397857
LZ_CPS,2016,6,24.958069444444472
LZ_CPS,2016,7,27.967956989247316
LZ_CPS,2016,8,31.30657258064518
LZ_CPS,2016,9,28.130249999999958
LZ_CPS,2016,10,26.250295698924717
