month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,18.840000000000003,0.019035147975497973
1,0,1,17.998888888888885,0.0169400241395499
1,0,2,17.931666666666672,0.016772580292687498
1,0,3,18.456666666666663,0.01808030289834858
1,0,4,20.016111111111112,0.021964723378867863
1,0,5,22.62611111111111,0.028465972904154476
1,0,6,37.42999999999999,0.06534098271690723
1,0,7,33.95611111111111,0.056687872184421687
1,0,8,28.561666666666667,0.04325084943207322
1,0,9,28.201666666666675,0.04235412535961991
1,0,10,25.91611111111111,0.03666103456629738
1,0,11,23.675,0.031078650448586393
1,0,12,22.682222222222222,0.028605740082114025
1,0,13,22.102222222222228,0.027161017965383675
1,0,14,21.68166666666667,0.026113456047409642
1,0,15,21.24833333333333,0.025034065960197294
1,0,16,22.180555555555554,0.027356138481148966
1,0,17,32.32611111111111,0.05262770485636911
1,0,18,34.25555555555556,0.05743375841135431
1,0,19,27.999444444444446,0.041850409985587464
1,0,20,26.13666666666667,0.03721041644401957
1,0,21,24.353333333333335,0.03276831108510725
1,0,22,22.112222222222222,0.027185926967396256
1,0,23,19.975,0.021862319703927203
1,1,0,16.977894736842103,0.014396829600732065
1,1,1,15.989473684210527,0.011934771401803202
1,1,2,16.028421052631575,0.01203178540964171
1,1,3,16.853684210526318,0.014087433575733558
1,1,4,19.311052631578953,0.02020849307030167
1,1,5,23.358947368421052,0.03029139488497788
1,1,6,42.036842105263155,0.0768161666440768
1,1,7,40.642105263157895,0.07334201636337312
1,1,8,32.56105263157895,0.05321292073698662
1,1,9,30.7657894736842,0.04874109937567328
1,1,10,27.88315789473684,0.04156075179551705
1,1,11,26.133684210526315,0.03720298744341931
1,1,12,25.063157894736843,0.034536413227965995
1,1,13,24.16052631578948,0.03228804804630306
1,1,14,23.60894736842106,0.03091411993529271
1,1,15,23.892105263157895,0.03161943799228083
1,1,16,25.393157894736838,0.03535841029438154
1,1,17,40.65421052631579,0.07337216936580941
1,1,18,45.11105263157896,0.0844737182627901
1,1,19,34.4542105263158,0.05792858811800214
1,1,20,30.515789473684208,0.04811837432535848
1,1,21,27.782105263157902,0.0413090397751793
1,1,22,24.504210526315784,0.033144131115472666
1,1,23,22.633157894736843,0.028483525738906047
1,2,0,21.48166666666667,0.025615276007157798
1,2,1,20.38388888888889,0.022880821119553207
1,2,2,20.46277777777778,0.02307732546876366
1,2,3,21.22611111111111,0.024978712622391538
1,2,4,25.178888888888892,0.03482468758459127
1,2,5,38.85888888888888,0.06890020233781766
1,2,6,127.80000000000001,0.29044363390470496
1,2,7,128.87555555555556,0.2931227354545038
1,2,8,58.922777777777775,0.11887734720919407
1,2,9,33.37277777777777,0.055234847067020434
1,2,10,31.092777777777783,0.0495555946081494
1,2,11,28.32,0.04264888188343556
1,2,12,26.56555555555555,0.038278735863670726
1,2,13,25.508333333333336,0.035645300817561676
1,2,14,24.24277777777778,0.032492928229523585
1,2,15,23.91333333333334,0.031672314996553194
1,2,16,24.92166666666666,0.03418397269948957
1,2,17,35.22222222222222,0.059841628605904904
1,2,18,38.70388888888888,0.06851411280662249
1,2,19,31.958333333333332,0.051711607115683775
1,2,20,30.028888888888883,0.04690555356069856
1,2,21,27.654444444444447,0.04099104941615303
1,2,22,24.830555555555552,0.033957024014485956
1,2,23,22.460555555555555,0.028053590537501557
1,3,0,20.274117647058826,0.022607391911186225
1,3,1,19.09941176470588,0.01968131679241286
1,3,2,19.17294117647059,0.019864471218976044
1,3,3,20.00705882352941,0.02194217503390874
1,3,4,22.425882352941176,0.027967223050131097
1,3,5,29.251176470588234,0.04496834954143167
1,3,6,55.74117647058823,0.11095229587278896
1,3,7,49.14411764705882,0.0945196807215405
1,3,8,35.408235294117645,0.06030496860412607
1,3,9,31.279411764705884,0.050020481243750414
1,3,10,28.171764705882353,0.0422796425594842
1,3,11,26.001176470588238,0.03687292388733915
1,3,12,24.590588235294117,0.03335928936815111
1,3,13,23.78705882352941,0.03135777779466868
1,3,14,22.792941176470585,0.02888152994753448
1,3,15,22.76705882352941,0.028817059589384252
1,3,16,23.61411764705882,0.03092699858339207
